trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount
2016-10-21,399300.SZ,3327.74,3315.715,3341.56,3309.178,3318.604,9.136,0.2753,109785176.0,107114926.1256
2016-10-24,399300.SZ,3367.577,3332.512,3382.825,3330.967,3327.74,39.837,1.1971,153014345.0,150063007.8989
2016-10-25,399300.SZ,3367.454,3367.475,3373.913,3356.585,3367.577,-0.123,-0.0037,111191693.0,110576512.9159
2016-10-26,399300.SZ,3354.8,3365.197,3367.831,3349.574,3367.454,-12.654,-0.3758,98024786.0,104719318.2203
2016-10-27,399300.SZ,3345.695,3351.46,3352.354,3335.133,3354.8,-9.105,-0.2714,77629851.0,85241012.4139
2016-10-28,399300.SZ,3340.126,3347.143,3370.748,3337.288,3345.695,-5.569,-0.1665,93133309.0,104797971.448
2016-10-31,399300.SZ,3336.278,3332.406,3340.47,3317.328,3340.126,-3.848,-0.1152,71352863.0,80701820.9
2016-11-01,399300.SZ,3359.052,3338.71,3359.394,3334.457,3336.278,22.774,0.6826,74938199.0,84717683.7
2016-11-02,399300.SZ,3333.352,3350.71,3356.397,3331.384,3359.052,-25.7,-0.7651,91197104.0,100348995.7
2016-11-03,399300.SZ,3365.085,3326.905,3379.989,3324.838,3333.352,31.733,0.952,126223504.0,137386468.3
2016-11-04,399300.SZ,3354.175,3362.206,3377.639,3348.426,3365.085,-10.91,-0.3242,104069655.0,110813764.5
2016-11-07,399300.SZ,3356.592,3353.444,3362.742,3342.312,3354.175,2.417,0.0721,99877988.0,94370876.7
2016-11-08,399300.SZ,3371.118,3367.697,3383.917,3361.129,3356.592,14.526,0.4328,103148282.0,105138256.0
2016-11-09,399300.SZ,3353.055,3370.6,3373.096,3322.08,3371.118,-18.063,-0.5358,139110059.0,145186921.6
2016-11-10,399300.SZ,3390.612,3374.906,3403.016,3374.906,3353.055,37.557,1.1201,134705535.0,133277399.5
